method, generation, latency, ar
surrogate, 1, 46.0, 0.9375
surrogate, 1, 46.0, 0.9375
surrogate, 1, 45.0, 0.8125
surrogate, 2, 46.0, 0.9375
surrogate, 2, 46.0, 0.9375
surrogate, 2, 45.0, 0.8125
surrogate, 3, 46.0, 0.9375
surrogate, 3, 46.0, 0.9375
surrogate, 3, 45.0, 0.8125
surrogate, 4, 46.0, 0.9375
surrogate, 4, 46.0, 0.9375
surrogate, 4, 45.0, 0.8125
surrogate, 5, 46.0, 0.9375
surrogate, 5, 46.0, 0.9375
surrogate, 5, 45.0, 0.8125
surrogate, 6, 46.0, 0.9375
surrogate, 6, 46.0, 0.9375
surrogate, 6, 45.0, 0.8875
surrogate, 6, 45.0, 0.8875
surrogate, 7, 46.0, 0.9375
surrogate, 7, 46.0, 0.9375
surrogate, 7, 45.0, 0.925
surrogate, 7, 39.0, 0.85
surrogate, 8, 46.0, 0.9375
surrogate, 8, 46.0, 0.9375
surrogate, 8, 45.0, 0.925
surrogate, 8, 39.0, 0.85
surrogate, 9, 46.0, 0.9625
surrogate, 9, 45.0, 0.925
surrogate, 9, 39.0, 0.85
