method, generation, latency, ar
surrogate, 1, 388.0, 0.95
surrogate, 1, 91.0, 0.9166666666666666
surrogate, 1, 52.0, 0.9
surrogate, 1, 42.0, 0.8666666666666667
surrogate, 1, 41.0, 0.8166666666666667
surrogate, 2, 388.0, 0.95
surrogate, 2, 53.0, 0.9333333333333333
surrogate, 2, 48.0, 0.9166666666666666
surrogate, 2, 45.0, 0.8833333333333333
surrogate, 2, 42.0, 0.8666666666666667
surrogate, 2, 41.0, 0.8166666666666667
surrogate, 2, 38.0, 0.7333333333333333
surrogate, 3, 388.0, 0.95
surrogate, 3, 45.0, 0.9333333333333333
surrogate, 3, 42.0, 0.8666666666666667
surrogate, 3, 39.0, 0.8166666666666667
surrogate, 3, 38.0, 0.7333333333333333
surrogate, 4, 388.0, 0.95
surrogate, 4, 45.0, 0.9333333333333333
surrogate, 4, 42.0, 0.8833333333333333
surrogate, 4, 40.0, 0.85
surrogate, 4, 39.0, 0.8166666666666667
surrogate, 4, 38.0, 0.7333333333333333
surrogate, 5, 213.0, 0.9666666666666667
surrogate, 5, 144.0, 0.95
surrogate, 5, 45.0, 0.9333333333333333
surrogate, 5, 42.0, 0.8833333333333333
surrogate, 5, 40.0, 0.85
surrogate, 5, 39.0, 0.8166666666666667
surrogate, 5, 38.0, 0.7333333333333333
surrogate, 6, 213.0, 0.9666666666666667
surrogate, 6, 51.0, 0.95
surrogate, 6, 45.0, 0.9333333333333333
surrogate, 6, 42.0, 0.8833333333333333
surrogate, 6, 40.0, 0.85
surrogate, 6, 39.0, 0.8166666666666667
surrogate, 6, 39.0, 0.8166666666666667
surrogate, 6, 38.0, 0.7333333333333333
emulator, 7, 54.0, 0.95
